molecule_ID,MOL_ID,file_ID,molecule_name,ob,mw,alogp,caco2,bbb,halflife,hdon,hacc,dl,FASA
8249,MOL008249,twy_dg_Molecule105_qt.mol2,phosphatidylinositol_qt,12.6625157921,228.110,-1.554,-1.14767,-1.77229,,2,8,0.053205,0
8250,MOL008250,twy_dg_Molecule107.mol2,ESEN,47.3129470042,148.120,1.304,0.56119,0.30165,13.725413,0,3,0.044303,0.53928566
8251,MOL008251,twy_dg_Molecule111.mol2,sedanolide,62.4582770818,194.300,3.373,1.24131,1.40391,5.052289,0,2,0.065307,0.27542955
8252,MOL008252,twy_dg_Molecule117.mol2,senkyunolide,68.2778756,192.280,3.191,1.28037,1.40307,5.493873,0,2,0.065963,0.31015572
8253,MOL008253,twy_dg_Molecule118.mol2,sphingomyelin,0.311396696,493.730,3.181,-0.45928,-1.30645,,3,7,0.50661,0.18509316
8254,MOL008254,twy_dg_Molecule119.mol2,Isotetandrine,10.4224543114,622.820,7.218,0.94524,0.27560,,0,8,0.10166,0.2059028
8255,MOL008255,twy_dg_Molecule124.mol2,α-acoradiene,40.9845338622,204.390,4.505,1.82460,2.09053,-0.904452,0,0,0.072677,0.24648197
8256,MOL008256,twy_dg_Molecule125.mol2,"InChI=1/C15H24/c1-10-7-8-15-9-12(10)14(3,4)13(15)6-5-11(15)2/h7,11-13H,5-6,8-9H2,1-4H",55.5609931337,204.390,4.123,1.78777,2.05390,4.82344,0,0,0.10498,0.24597026
8257,MOL008257,twy_dg_Molecule126.mol2,α-copaene,29.3285100184,204.390,4.169,1.82690,2.03908,,0,0,0.12401,0.23022783
8258,MOL008258,twy_dg_Molecule128.mol2,"(1R,4R,5S)-4-isopropenyl-1,8-dimethylspiro[4.5]dec-8-ene",40.650884537,204.390,4.753,1.83339,2.09983,-0.18374,0,0,0.072942,0.26162058
8259,MOL008259,twy_dg_Molecule134.mol2,"2,6-di(phenyl)thiopyran-4-thione",69.1337317224,280.430,4.616,1.73596,1.28731,6.759216,0,0,0.14581,0.57534283
8260,MOL008260,twy_dg_Molecule14.mol2,o-Xylenol,53.128799171,122.180,2.535,1.61721,1.88424,11.9185,1,1,0.020879,0.37049243
8261,MOL008261,twy_dg_Molecule15.mol2,"2,4,6-trimethyl-Octane",29.1407013477,156.350,4.777,1.80607,2.19555,,0,0,0.018723,0.24783823
8262,MOL008262,twy_dg_Molecule16.mol2,Mesitaldehyde,37.8033250012,148.220,3.048,1.54210,1.58110,11.6282,0,1,0.03176,0.37099138
8263,MOL008263,twy_dg_Molecule18.mol2,Isoxylaldehyde,38.849908475,134.190,2.562,1.39052,1.65690,11.743484,0,1,0.024964,0.39795357
8264,MOL008264,twy_dg_Molecule2.mol2,(E)-octadec-3-ene,19.5002419535,252.540,8.139,1.85540,2.06877,,0,0,0.091902,0.18971343
8265,MOL008265,twy_dg_Molecule21.mol2,2-valerylbenzoic acid,78.2600281897,206.260,2.754,0.61043,0.44522,17.781906,1,3,0.063097,0.3570897
