molecule_ID,MOL_ID,file_ID,molecule_name,ob,mw,alogp,caco2,bbb,halflife,hdon,hacc,dl,FASA,herb_cn,herb_pinyin
9126,MOL009126,wjn_htr_Molecule41.mol2,"methyl 3,4-dimethoxy-5-(2,3,4-trimethoxy-6-methoxycarbonylphenoxy)-2-(2,3,4-trimethoxy-6-methoxycarbonylphenyl)benzoate",32.6851136953,660.680,4.344,0.21625,-0.59306,4.385326,0,15,0.6509,0.10837607,核桃仁,Hetaoren
9127,MOL009127,wjn_htr_Molecule5.mol2,1-desgalloylrugosin F,7.20631098554,1689.260,5.505,-5.22784,-6.97991,,26,46,0.00075702,0.37930137,核桃仁,Hetaoren
9128,MOL009128,wjn_htr_Molecule6.mol2,"2,3-HHDP-D-glucopyranose",5.03720934049,482.380,-0.343,-2.06873,-2.84460,,9,14,0.83482,0.33333752,核桃仁,Hetaoren
9129,MOL009129,wjn_htr_Molecule7.mol2,"6,7-methylene octadecanoate",22.3939136885,296.550,6.956,1.14958,0.99175,,1,2,0.17883,0.1922047,核桃仁,Hetaoren
9130,MOL009130,wjn_htr_Molecule8.mol2,"8,9-methylene octadecanoate",21.131970707,310.580,7.207,1.41164,1.13780,,0,2,0.20512,0.16059394,核桃仁,Hetaoren
9131,MOL009131,wjn_htr_Molecule9.mol2,"9,10,12,13,15,16-trimethylene octodecanoate",25.47651386,334.600,6.558,1.43141,1.14967,,0,2,0.33458,0.18712614,核桃仁,Hetaoren
1789,MOL001789,lbh_blg_Molecule24.mol2,isoliquiritigenin,85.3217982296,256.270,2.900,0.43959,-0.40612,17.664015,3,4,0.14805,0.46312603,黄精,Huangjing
1792,MOL001792,lbh_blg_Molecule29.mol2,DFV,32.7627237546,256.270,2.565,0.50823,-0.28845,17.885678,2,4,0.18316,0.42163903,黄精,Huangjing
1801,MOL001801,lbh_blg_Molecule36.mol2,salicylic acid,32.1269871811,138.130,1.167,0.62617,0.63276,12.0046,2,3,0.027213,0.42539868,黄精,Huangjing
2714,MOL002714,lbh_hh_Molecule174.mol2,baicalein,33.51891869,270.250,2.334,0.63086,-0.05023,16.249167,3,5,0.20888,0.36044624,黄精,Huangjing
2959,MOL002959,lbh_jx_Molecule28.mol2,3'-Methoxydaidzein,48.5690937439,284.280,2.316,0.56493,-0.32231,17.039413,2,5,0.24261,0.34405011,黄精,Huangjing
346,MOL000346,fyp_hjs_Molecule445.mol2,succinic acid,29.62033732,118.100,-0.410,-0.44496,-0.70993,,2,4,0.012082,0.41501027,黄精,Huangjing
357,MOL000357,fyp_hjs_Molecule461.mol2,Sitogluside,20.6319368572,576.950,6.337,-0.13620,-0.92830,,4,6,0.6241,0.22702196,黄精,Huangjing
358,MOL000358,fyp_hjs_Molecule461_qt.mol2,beta-sitosterol,36.9139058327,414.790,8.084,1.32463,0.98588,5.355491,1,1,0.75123,0.22550575,黄精,Huangjing
359,MOL000359,fyp_hjs_Molecule463.mol2,sitosterol,36.91390583,414.790,8.084,1.32059,0.87298,5.371091,1,1,0.7512,0.22479513,黄精,Huangjing
3888,MOL003888,lbh_td_Molecule15.mol2,methylprotodioscin,10.2633703371,1063.380,-0.935,-3.07467,-4.47858,,12,22,0.027465,0.21117209,黄精,Huangjing
3889,MOL003889,lbh_td_Molecule15_qt.mol2,methylprotodioscin_qt,35.1164010273,446.740,4.276,0.20346,-0.44726,5.477112,2,4,0.8591,0.19034736,黄精,Huangjing
396,MOL000396,fyp_hq_Molecule219.mol2,(+)-Syringaresinol,3.29171328315,418.480,2.100,0.46855,-0.33652,,2,8,0.72244,0,黄精,Huangjing
436,MOL000436,fyp_hq_Molecule279.mol2,"(Z)-1-(2,4-dihydroxyphenyl)-3-(4-hydroxyphenyl)prop-2-en-1-one",87.5084517256,256.270,2.900,0.20398,-0.47617,20.282199,3,4,0.14769,0,黄精,Huangjing
4807,MOL004807,lh_gc_Molecule101.mol2,glucuronic acid,46.1827723453,194.160,-2.305,-2.05246,-4.58073,11.126,5,7,0.055111,0,黄精,Huangjing
4940,MOL004940,lh_gc_Molecule269.mol2,neoliquiritin,13.0094818636,418.430,0.661,-1.08094,-1.94519,,5,9,0.71269,0,黄精,Huangjing
4941,MOL004941,lh_gc_Molecule269_qt.mol2,(2R)-7-hydroxy-2-(4-hydroxyphenyl)chroman-4-one,71.1229890138,256.270,2.565,0.41458,-0.24532,18.093254,2,4,0.18303,0,黄精,Huangjing
5367,MOL005367,lh_rs_Molecule2460.mol2,GUP,43.0427489488,180.180,-2.513,-1.81672,-4.46096,11.101592,5,6,0.044671,0.25789663,黄精,Huangjing
5441,MOL005441,lh_sy_Molecule3102.mol2,BGC,48.086149243,180.180,-2.513,-2.01573,-4.68263,11.1291,5,6,0.044665,0.30536729,黄精,Huangjing
546,MOL000546,fyp_ltj_Molecule110.mol2,diosgenin,80.8779249091,414.690,4.634,0.81998,0.27383,4.137054,1,3,0.80979,0.19077273,黄精,Huangjing
6331,MOL006331,lp_djc_Molecule39.mol2,"4',5-Dihydroxyflavone",48.5512035242,254.250,2.602,0.75796,-0.02614,18.006086,2,4,0.1859,0,黄精,Huangjing
