molecule_name,SMILES,PubChem_CID
Gomisin R,CC1CC2=CC3=C(C(=C2C4=C(C5=C(C=C4C(C1C)O)OCO5)OC)OC)OCO3,11495015
Wuweizisu C,CC1CC2=CC3=C(C(=C2C4=C(C5=C(C=C4CC1C)OCO5)OC)OC)OCO3,443027
piperlonguminine,CC(C)CNC(=O)C=CC=CC1=CC2=C(C=C1)OCO2,5320621
(-)-taxifolin,C1=CC(=C(C=C1C2C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,712316
Denudatin B,CC1C(OC2=CC(=O)C(=CC12OC)CC=C)C3=CC(=C(C=C3)OC)OC,442834
Kadsurenone,CC1C(OC2=CC(=O)C(=CC12OC)CC=C)C3=CC(=C(C=C3)OC)OC,122159
hancinol,CC1C(C2C(=O)C1(C=C(C2(C)O)OC)CC=C)C3=CC(=C(C=C3)OC)OC,176097
hancinone C,CC(=CC1=CC(=C(C(=C1)OC)OC)OC)C2(C=C(C(=O)C=C2OC)CC=C)OC,6443896
24-Methylcholest-5-enyl-3belta-O-glucopyranoside_qt,,
Isofucosterol,CC=C(CCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)C(C)C,5281326
Dioscoreside C_qt,CC1C(C(C(C(O1)OC2C(OC(C(C2O)OC3C(C(C(C(O3)C)O)O)O)OC4CCC5(C6CCC7(C(C6CC=C5C4)CC8C7C(=C(O8)C(CC(C)COC9C(C(C(C(O9)CO)O)O)O)OC)C)C)C)CO)O)O)O,21575199
Doradexanthin,CC1=C(C(CC(C1)O)(C)C)C=CC(=CC=CC(=CC=CC=C(C)C=CC=C(C)C=CC2=C(C(=O)C(CC2(C)C)O)C)C)C,16061189
Methylcimicifugoside_qt,,
AIDS180907,,
Gallic acid,C1=C(C=C(C(=C1O)O)O)C(=O)O,370
Ellagic acid,C1=C2C3=C(C(=C1O)O)OC(=O)C4=CC(=C(C(=C43)OC2=O)O)O,5281855
Quercetin,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,5280343
Kaempferol,C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O,5280863
Adenine,C1=NC2=NC=NC(=C2N1)N,190
Adenosine,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)CO)O)O)N,60961
beta-Sitosterol,CCC(CCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)C(C)C,222284
Uridine,C1=CN(C(=O)NC1=O)C2C(C(C(O2)CO)O)O,6029
Ethyl gallate,CCOC(=O)C1=CC(=C(C(=C1)O)O)O,13250
Corilagin,C1C2C(C(C(C(O2)OC(=O)C3=CC(=C(C(=C3)O)O)O)O)OC(=O)C4=CC(=C(C(=C4C5=C(C(=C(C=C5C(=O)O1)O)O)O)O)O)O)O,73568
Gastrodin,C1=CC(=CC=C1CO)OC2C(C(C(C(O2)CO)O)O)O,115067
4-Hydroxybenzyl alcohol,C1=CC(=CC=C1CO)O,125
Vanillin,COC1=C(C=CC(=C1)C=O)O,1183
4-Hydroxybenzaldehyde,C1=CC(=CC=C1C=O)O,126
Vanillyl alcohol,COC1=C(C=CC(=C1)CO)O,62348
Parishin,CC1C(C(C(C(O1)OC2=CC=C(C=C2)COC(=O)CC(CC(=O)OCC3=CC=C(C=C3)OC4C(C(C(C(O4)CO)O)O)O)(C(=O)OC5=CC=C(C=C5)OC6C(C(C(C(O6)CO)O)O)O)O)O)O)O,44421666
Parishin B,C1=CC(=CC=C1COC(=O)CC(CC(=O)O)(C(=O)OCC2=CC=C(C=C2)OC3C(C(C(C(O3)CO)O)O)O)O)OC4C(C(C(C(O4)CO)O)O)O,44715528
Parishin C,C1=CC(=CC=C1COC(=O)CC(CC(=O)OCC2=CC=C(C=C2)OC3C(C(C(C(O3)CO)O)O)O)(C(=O)O)O)OC4C(C(C(C(O4)CO)O)O)O,10676408
Succinic acid,C(CC(=O)O)C(=O)O,1110
