molecule_ID,MOL_ID,file_ID,molecule_name,ob,mw,alogp,caco2,bbb,halflife,hdon,hacc,dl,FASA
748,MOL000748,fyp_tswlx_Molecule581.mol2,HMF,45.0661024854,126.120,0.672,0.05326,-0.26608,11.7281,1,3,0.019427,0.21778123
7551,MOL007551,lxx_sr_Molecule1903.mol2,α-santalene,17.7566077061,204.390,4.123,1.83949,2.06552,,0,0,0.11164,0.26466501
765,MOL000765,fyp_xm_Molecule120.mol2,Citraurin beta,20.5343046031,432.700,7.100,1.07243,-0.85057,,1,2,0.55978,0.35662767
7719,MOL007719,lxx_zc_Molecule759.mol2,Arnebin 7,73.8482146,272.320,3.496,0.7421,0.06902,29.63223,2,4,0.17627,0.36170855
8931,MOL008931,wjn_bwwz_Molecule1.mol2,Gomisin T,8.00834916175,402.530,5.016,0.99845,0.67961,,1,6,0.58365,0.15969719
8932,MOL008932,wjn_bwwz_Molecule10.mol2,(-)-Gomisin L1,9.37967952248,386.480,4.817,0.95637,0.59919,,1,6,0.70904,0.18737607
8933,MOL008933,wjn_bwwz_Molecule108.mol2,beta-Sesquiphellandrene,30.5752488206,218.420,5.387,1.82060,1.99255,4.783534,0,0,0.063606,0.29855087
8934,MOL008934,wjn_bwwz_Molecule11.mol2,(-)-Gomisin L2,9.13275905446,386.480,4.817,0.90047,0.54714,,1,6,0.70706,0.20358203
8935,MOL008935,wjn_bwwz_Molecule121.mol2,thymoquinol 2-glucoside,13.8966461748,328.400,1.071,-0.50598,-0.74205,,5,7,0.22741,0.27012837
8936,MOL008936,wjn_bwwz_Molecule121_qt.mol2,Thymoquinol,44.43651588,166.240,2.976,1.18628,0.96177,11.179392,2,2,0.038329,0.33264062
8937,MOL008937,wjn_bwwz_Molecule122.mol2,thymoquinol 5-glucoside,15.3024158523,328.400,1.071,-0.53105,-0.84206,,5,7,0.22801,0.26777908
8938,MOL008938,wjn_bwwz_Molecule123.mol2,zingerone glucoside,11.1987616141,356.410,-0.277,-0.72518,-1.36382,,4,8,0.30219,0.27582133
