molecule_ID,MOL_ID,file_ID,molecule_name,ob,mw,alogp,caco2,bbb,halflife,hdon,hacc,dl,FASA,herb_cn,herb_pinyin
9635,MOL009635,wy_gqz_Molecule590.mol2,"4,24-methyllophenol",37.8346743267,414.790,7.947,1.42778,1.09906,4.902231,1,1,0.74999,0.21949597,枸杞子,Gouqizi
9639,MOL009639,wy_gqz_Molecule596.mol2,Lophenol,38.12940252,400.760,7.695,1.36486,1.09998,4.757872,1,1,0.714,0.20398965,枸杞子,Gouqizi
9640,MOL009640,wy_gqz_Molecule597.mol2,"4alpha,14alpha,24-trimethylcholesta-8,24-dienol",38.909889728,426.800,8.293,1.39949,1.05760,6.674022,1,1,0.75772,0.24017581,枸杞子,Gouqizi
9641,MOL009641,wy_gqz_Molecule598.mol2,"4alpha,24-dimethylcholesta-7,24-dienol",42.6530409847,412.770,7.892,1.43120,0.97601,5.439695,1,1,0.75297,0.23145935,枸杞子,Gouqizi
9642,MOL009642,wy_gqz_Molecule599.mol2,"4alpha-methyl-24-ethylcholesta-7,24-dienol",42.2950945349,426.800,8.348,1.44898,1.08442,5.830477,1,1,0.78304,0.22690836,枸杞子,Gouqizi
9644,MOL009644,wy_gqz_Molecule602.mol2,6-Fluoroindole-7-Dehydrocholesterol,43.726025126,402.700,7.036,1.03370,0.54449,5.103118,1,2,0.72224,0.23734142,枸杞子,Gouqizi
9646,MOL009646,wy_gqz_Molecule603_qt.mol2,7-O-Methylluteolin-6-C-beta-glucoside_qt,40.773688434,318.300,2.014,0.33243,-0.46685,14.099055,4,7,0.30497,0.29483029,枸杞子,Gouqizi
9650,MOL009650,wy_gqz_Molecule612.mol2,Atropine,42.1589707825,289.410,1.721,0.56932,0.39129,5.274339,1,4,0.19299,0.25939518,枸杞子,Gouqizi
9651,MOL009651,wy_gqz_Molecule621.mol2,Cryptoxanthin monoepoxide,46.9537193738,568.960,9.500,1.48975,-0.03313,4.401327,1,2,0.56103,0.32612327,枸杞子,Gouqizi
9653,MOL009653,wy_gqz_Molecule623.mol2,Cycloeucalenol,39.7264721596,426.800,7.586,1.41559,1.04190,5.009472,1,1,0.79446,0.22941984,枸杞子,Gouqizi
9656,MOL009656,wy_gqz_Molecule629.mol2,"(E,E)-1-ethyl octadeca-3,13-dienoate",41.9962004535,308.560,6.991,1.45588,1.10720,5.471341,0,2,0.19364,0.20713624,枸杞子,Gouqizi
9660,MOL009660,wy_gqz_Molecule636.mol2,"methyl (1R,4aS,7R,7aS)-4a,7-dihydroxy-7-methyl-1-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-1,5,6,7a-tetrahydrocyclopenta[d]pyran-4-carboxylate",39.4284768233,406.430,-3.181,-1.42580,-2.05543,7.638203,6,11,0.46558,0.23220319,枸杞子,Gouqizi
9662,MOL009662,wy_gqz_Molecule638.mol2,Lantadene A,38.679424169,552.870,7.206,0.31516,-0.29768,5.437298,1,5,0.57405,0.30371177,枸杞子,Gouqizi
9664,MOL009664,wy_gqz_Molecule660.mol2,Physalin A,91.7064749115,526.580,0.497,-0.78303,-1.10928,13.213513,3,10,0.27207,0.38940609,枸杞子,Gouqizi
9665,MOL009665,wy_gqz_Molecule661.mol2,Physcion-8-O-beta-D-gentiobioside,43.9035865641,608.600,-0.908,-2.68432,-3.52314,28.464267,8,15,0.62426,0.28922597,枸杞子,Gouqizi
9677,MOL009677,wy_gqz_Molecule710.mol2,lanost-8-en-3beta-ol,34.22630373,428.820,8.370,1.48075,1.24532,5.47725,1,1,0.74036,0.21606757,枸杞子,Gouqizi
