molecule_ID,MOL_ID,file_ID,molecule_name,ob,mw,alogp,caco2,bbb,halflife,hdon,hacc,dl,FASA,herb_cn,herb_pinyin,SMILES,PubChem_CID,molecule_name_cn
449.0,MOL000449,fyp_htp_Molecule484.mol2,Stigmasterol,43.8298515785,412.77,7.64,1.44458,1.00045,5.574595,1.0,1.0,0.75665,0.21679397,枸杞子,Gouqizi,CCC(C=CC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)C(C)C,5280794.0,豆甾醇
358.0,MOL000358,fyp_hjs_Molecule461_qt.mol2,beta-sitosterol,36.9139058327,414.79,8.084,1.32463,0.98588,5.355491,1.0,1.0,0.75123,0.22550575,枸杞子,Gouqizi,CCC(CCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)C(C)C,222284.0,β-谷甾醇
5406.0,MOL005406,lh_sfs_Molecule1122.mol2,atropine,45.9705817808,289.41,1.721,0.42984,0.01478,2.747399,1.0,4.0,0.19328,0.28150576,枸杞子,Gouqizi,CN1C2CCC1CC(C2)OC(=O)C(CO)C3=CC=CC=C3,174174.0,阿托品
5438.0,MOL005438,lh_sy_Molecule3099.mol2,campesterol,37.5768178856,400.76,7.628,1.34459,0.94546,4.832037,1.0,1.0,0.71488,0.22386885,枸杞子,Gouqizi,CC(C)C(C)CCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C,173183.0,菜油甾醇
6209.0,MOL006209,lmm_zs_Molecule029.mol2,cyanin,47.4209226916,411.66,7.077,1.78221,0.99102,2.723773,0.0,1.0,0.75918,0.27626067,枸杞子,Gouqizi,C1=CC(=C(C=C1C2=C(C=C3C(=CC(=CC3=[O+]2)O)OC4C(C(C(C(O4)CO)O)O)O)OC5C(C(C(C(O5)CO)O)O)O)O)O,441688.0,矢车菊素
7449.0,MOL007449,lxx_sfj_Molecule148.mol2,24-methylidenelophenol,44.1926454523,412.77,7.751,1.40625,1.0016,5.103543,1.0,1.0,0.7533,0.24066044,枸杞子,Gouqizi,CC1C(CCC2(C1CC=C3C2CCC4(C3CCC4C(C)CCC(=C)C(C)C)C)C)O,5283640.0,
8173.0,MOL008173,twy_cs_Molecule29_qt.mol2,daucosterol_qt,36.9139058327,414.79,8.084,1.33489,0.85459,5.597671,1.0,1.0,0.75316,0.22539645,枸杞子,Gouqizi,CCC(CCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)OC5C(C(C(C(O5)CO)O)O)O)C)C)C(C)C,5742590.0,胡萝卜苷元
8400.0,MOL008400,twy_dsh_Molecule47.mol2,glycitein,50.4789136567,284.28,2.316,0.56176,-0.28745,16.320275,2.0,5.0,0.23826,0.30143285,枸杞子,Gouqizi,COC1=C(C=C2C(=C1)C(=O)C(=CO2)C3=CC=C(C=C3)O)O,5317750.0,鸡豆黄素A
10234.0,MOL010234,wy_sj_Molecule582.mol2,delta-Carotene,31.8009431171,536.96,12.185,2.32916,1.42231,2.616793,0.0,0.0,0.54639,0.35115972,枸杞子,Gouqizi,CC1=CCCC(C1C=CC(=CC=CC(=CC=CC=C(C)C=CC=C(C)C=CC=C(C)CCC=C(C)C)C)C)(C)C,6384254.0,δ-胡萝卜素
953.0,MOL000953,hc_jh_Molecule21.mol2,CLR,37.8738975447,386.73,7.376,1.43101,1.12678,4.518834,1.0,1.0,0.67677,0.19867201,枸杞子,Gouqizi,CC(C)CCCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C,5997.0,胆固醇
9604.0,MOL009604,wy_gqz_Molecule546.mol2,14b-pregnane,34.7792329915,288.57,6.535,1.79765,1.94933,4.570567,0.0,0.0,0.33723,0.19898032,枸杞子,Gouqizi,,,
