Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Regulation Of Tyrosine Phosphorylation Of STAT Protein (GO:0042509),3/65,0.0007618349958722256,0.0061765147245249,0,0,18.50155086848635,132.8370753770771,IL6;IL2;VEGFA
GO_Biological_Process_2023,Positive Regulation Of Cell Cycle (GO:0045787),3/65,0.0007618349958722256,0.0061765147245249,0,0,18.50155086848635,132.8370753770771,PRKCA;EGFR;CDC25B
GO_Biological_Process_2023,Regulation Of Cellular Response To Heat (GO:1900034),2/15,0.000761944761699299,0.0061765147245249,0,0,57.8577648766328,415.3977202918273,GSK3B;MTOR
GO_Biological_Process_2023,Negative Regulation Of Synaptic Transmission (GO:0050805),2/15,0.000761944761699299,0.0061765147245249,0,0,57.8577648766328,415.3977202918273,DRD2;DRD3
GO_Biological_Process_2023,Cellular Response To Estrogen Stimulus (GO:0071391),2/15,0.000761944761699299,0.0061765147245249,0,0,57.8577648766328,415.3977202918273,ESR1;ESR2
GO_Biological_Process_2023,Positive Regulation Of Potassium Ion Transport (GO:0043268),2/15,0.000761944761699299,0.0061765147245249,0,0,57.8577648766328,415.3977202918273,DRD1;ADRA2A
GO_Biological_Process_2023,Positive Regulation Of Nucleic Acid-Templated Transcription (GO:1903508),7/557,0.0007975059242514319,0.0064246284705224,0,0,5.142613636363636,36.687515192769794,IL10;IL6;NOS1;TP53;ESR1;EGFR;ESR2
GO_Biological_Process_2023,Regulation Of Protein Kinase C Signaling (GO:0090036),2/16,0.0008692599027475671,0.0068745737430706,0,0,53.722371967654986,378.6282074873072,ADRA1D;VEGFA
GO_Biological_Process_2023,Positive Regulation Of Cell Migration Involved In Sprouting Angiogenesis (GO:0090050),2/16,0.0008692599027475671,0.0068745737430706,0,0,53.722371967654986,378.6282074873072,PTGS2;VEGFA
GO_Biological_Process_2023,Negative Regulation Of Chemokine Production (GO:0032682),2/16,0.0008692599027475671,0.0068745737430706,0,0,53.722371967654986,378.6282074873072,IL10;IL6
GO_Biological_Process_2023,Response To Molecule Of Bacterial Origin (GO:0002237),3/69,0.0009067530551326726,0.0071276285606489,0,0,17.376748251748253,121.73524975527204,IL10;IL6;NOS1
GO_Biological_Process_2023,Regulation Of Transcription By RNA Polymerase II (GO:0006357),14/2028,0.0009234121643254988,0.0072148528742781,0,0,3.0401094775595223,21.242566986008843,CAV1;NR3C1;MAPK14;ESR1;ADRA2A;EGFR;ESR2;VEGFA;FOSL1;IL6;CDK4;PGR;NOS1;TP53
GO_Biological_Process_2023,Response To Lipopolysaccharide (GO:0032496),4/159,0.0009569748600791948,0.0074323137336689,0,0,10.01391524351676,69.61406942729157,IL10;IL6;NOS1;MAPK14
GO_Biological_Process_2023,Intracellular Estrogen Receptor Signaling Pathway (GO:0030520),2/17,0.0009834258801979265,0.0074734413086458,0,0,50.138364779874216,347.18151684375505,ESR1;ESR2
GO_Biological_Process_2023,Positive Regulation Of Transcription From RNA Polymerase II Promoter In Response To Stress (GO:0036003),2/17,0.0009834258801979265,0.0074734413086458,0,0,50.138364779874216,347.18151684375505,TP53;VEGFA
GO_Biological_Process_2023,Prostaglandin Biosynthetic Process (GO:0001516),2/17,0.0009834258801979265,0.0074734413086458,0,0,50.138364779874216,347.18151684375505,PTGS2;PTGS1
GO_Biological_Process_2023,Negative Regulation Of Protein Binding (GO:0032091),3/71,0.0009853187847173777,0.0074734413086458,0,0,16.863970588235293,116.74160083823348,GSK3B;CAV1;ADRB2
GO_Biological_Process_2023,Response To Ionizing Radiation (GO:0010212),3/72,0.0010261664632754,0.0077380110631874,0,0,16.618729096989966,114.36885223449828,MAPK14;SLC6A2;TP53
GO_Biological_Process_2023,Cellular Response To Reactive Oxygen Species (GO:0034614),3/73,0.0010680715944905,0.0079578558200588,0,0,16.380494505494507,112.0737136235778,IL6;SLC6A2;EGFR
GO_Biological_Process_2023,Transmembrane Receptor Protein Tyrosine Kinase Signaling Pathway (GO:0007169),5/284,0.0010855435069019,0.0079578558200588,0,0,7.048745519713262,48.11244247612311,GSK3B;ADRB2;MAPK14;EGFR;VEGFA
GO_Biological_Process_2023,Negative Regulation Of Lipid Storage (GO:0010888),2/18,0.0011044055879804,0.0079578558200588,0,0,47.00235849056604,320.01311451477966,CRP;IL6
GO_Biological_Process_2023,Negative Regulation Of Monoatomic Ion Transport (GO:0043271),2/18,0.0011044055879804,0.0079578558200588,0,0,47.00235849056604,320.01311451477966,NOS1;ADRA2A
GO_Biological_Process_2023,Cellular Response To Inorganic Substance (GO:0071241),2/18,0.0011044055879804,0.0079578558200588,0,0,47.00235849056604,320.01311451477966,MMP3;CDK2
GO_Biological_Process_2023,Positive Regulation Of CREB Transcription Factor Activity (GO:0032793),2/18,0.0011044055879804,0.0079578558200588,0,0,47.00235849056604,320.01311451477966,OPRD1;VEGFA
GO_Biological_Process_2023,Excitatory Postsynaptic Potential (GO:0060079),2/18,0.0011044055879804,0.0079578558200588,0,0,47.00235849056604,320.01311451477966,GSK3B;DRD2
GO_Biological_Process_2023,Positive Regulation Of Neuroblast Proliferation (GO:0002052),2/18,0.0011044055879804,0.0079578558200588,0,0,47.00235849056604,320.01311451477966,DRD2;VEGFA
