gene_symbol,uniprot_id,target_name
GIG18,Q2TU84,Aspartate aminotransferase
ME2,P23368,"NAD-dependent malic enzyme, mitochondrial"
ME3,Q16798,"NADP-dependent malic enzyme, mitochondrial"
PRSS3,P35030,Trypsin-3
NOS1,P29475,"Nitric-oxide synthase, brain"
ALDH5A1,X5DNC0,"Succinate semialdehyde dehydrogenase, mitochondrial"
OAT,P04181,"Ornithine aminotransferase, mitochondrial"
ACAT1,H0YEL7,Acetyl-CoA acetyltransferase
ADSS1,Q8N142,Adenylosuccinate synthetase
MDH2,G3XAL0,Malate dehydrogenase
GLUD1,E9KL48,"Glutamate dehydrogenase 1, mitochondrial"
OTC,A0AAQ5BGV3,"Ornithine carbamoyltransferase, mitochondrial"
HHCMA56,Q12953,Oxidoreductase
SDHA,D6RFM5,"Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial"
P3H1,H7C2W6,Prolyl 3-hydroxylase 1
OXCT2,Q9BYC2,"Succinyl-CoA:3-ketoacid-coenzyme A transferase 2, mitochondrial"
P4HA2,A8MXE0,Prolyl 4-hydroxylase subunit alpha-2
GFOD2,Q3B7J2,Glucose--fructose oxidoreductase
